WAVELENGTH	THROUGHPUT
2530.760498046875	2.5941471742383458e-08
2540.0	2.088396766791794e-08
2540.762939453125	2.046886592497214e-08
2550.0	2.5945335698415007e-08
2550.765380859375	2.6394391637655945e-08
2560.0	2.7679197761678816e-08
2560.767578125	2.7787110626172787e-08
2570.0	2.4621143111940865e-08
2570.77001953125	2.4358675757221123e-08
2580.0	2.737249588736255e-08
2580.7724609375	2.762110879059117e-08
2590.0	2.2615364469363926e-08
2590.77490234375	2.219955862982452e-08
2600.0	2.7014735854262994e-08
2600.777099609375	2.7407392620071052e-08
2610.0	1.9158180725442072e-08
2610.779541015625	1.8467292157603992e-08
2620.0	1.9103334850918304e-08
2620.781982421875	1.915776079753894e-08
2630.0	2.106472116411995e-08
2630.7841796875	2.122558896930989e-08
2640.0	2.5124260226622097e-08
2640.78662109375	2.5451145584402597e-08
2650.0	2.557531849320054e-08
2650.7890625	2.558734122587664e-08
2660.0	2.0370210009287015e-08
2660.79150390625	1.9926883971170608e-08
2670.0	2.315208075079819e-08
2670.793701171875	2.342476975032013e-08
2680.0	1.9683730383235457e-08
2680.796142578125	1.936554007317944e-08
2690.0	2.558601125777186e-08
2690.798583984375	2.611875575218508e-08
2700.0	1.959116817769263e-08
2700.801025390625	1.9047128913099766e-08
2710.0	1.8601812202909803e-08
2710.803466796875	1.8564330081435186e-08
2720.0	1.6356367303001432e-08
2720.805908203125	1.616294688288919e-08
2730.0	2.8515277576827637e-08
2730.808349609375	2.9598766984336297e-08
2740.0	2.1260887386835965e-08
2740.810791015625	2.0527847013426085e-08
2750.0	2.458495160895309e-08
2750.81298828125	2.4941935043725695e-08
2760.0	2.6673511493862183e-08
2760.815673828125	2.6829055339782088e-08
2770.0	2.637147257092281e-08
2770.818115234375	2.6330726965355285e-08
2780.0	3.421293784632445e-08
2780.8203125	3.491429303826132e-08
2790.0	2.7373051594991418e-08
2790.822998046875	2.669979258201736e-08
2800.0	2.676848504077424e-08
2800.8251953125	2.6785843301177337e-08
2810.0	3.153970298853903e-08
2810.827880859375	3.19682669084099e-08
2820.0	2.9987864136804046e-08
2820.830078125	2.981017538598506e-08
2830.0	3.09792651925613e-08
