WAVELENGTH	THROUGHPUT
2990.0	5.764995191479912e-07
2990.272216796875	5.783872322228027e-07
3000.0	6.943860823668176e-07
3000.274658203125	6.97542221418217e-07
3010.0	7.938549216790748e-07
3010.277099609375	7.966183766691601e-07
3020.0	8.656092115573066e-07
3020.27978515625	8.675957042047867e-07
3030.0	9.583598941011002e-07
3030.2822265625	9.609713248261942e-07
3040.0	9.799152660062753e-07
3040.28466796875	9.804948329535525e-07
3050.0	9.99303028302312e-07
3050.287109375	9.998334207886635e-07
3060.0	9.955792046000896e-07
3060.289794921875	9.954780036464877e-07
3070.0	9.65109346037434e-07
3070.292236328125	9.64169424831056e-07
3080.0	9.666848897721969e-07
3080.294677734375	9.667864905688721e-07
3090.0	9.59766264208233e-07
3090.297119140625	9.595255342871719e-07
3100.0	1.0200471181420603e-06
3100.2998046875	1.0219438724703758e-06
3110.0	1.1062538384803847e-06
3110.30224609375	1.1088823554633905e-06
3120.0	1.2584031140246332e-06
3120.3046875	1.2630693115970197e-06
3130.0	1.3667503565298527e-06
3130.30712890625	1.3700712537266306e-06
3140.0	1.4045897333508345e-06
3140.309814453125	1.4056549112213369e-06
3150.0	1.3264671777143613e-06
